	Glycine_max.Glycine_max_v2.0.pep.all.fa	Lj3.0_pep.fa	Lupinus_angustifolius.LupAngTanjil_v1.0.pep.all.fa	Medicago_truncatula.MedtrA17_4.0.pep.all.fa	Phaseolus_vulgaris.PhaVulg1_0.pep.all.fa
OG0027914	KRH60118				
OG0027915	KRH57755				
OG0027916	KRH58891				
OG0027917	KRH56752				
OG0027918	KRH56753				
OG0027919	KRH57892				
OG0027920	KRH59561				
OG0027921	KRH58236				
OG0027922	KRH59001				
OG0027923	KRH59002				
OG0027924	KRH57111				
OG0027925	KRH57113				
OG0027926	KRH57112				
OG0027927	KRH60493				
OG0027928	KRH57515				
OG0027929	KRH58880				
OG0027930	KRH57075				
OG0027931	KRH57073				
OG0027932	KRH57074				
OG0027933	KRH58021				
OG0027934	KRH58022				
OG0027935	KRH56615				
OG0027936	KRH59158				
OG0027937	KRH59159				
OG0027938	KRH59162				
OG0027939	KRH59157				
OG0027940	KRH59163				
OG0027941	KRH59160				
OG0027942	KRH59156				
OG0027943	KRH57872				
OG0027944	KRH57456				
OG0027945	KRH59871				
OG0027946	KRH58229				
OG0027947	KRH59764				
OG0027948	KRH58791				
OG0027949	KRH58792				
OG0027950	KRH58793				
OG0027951	KRH58790				
OG0027952	KRH58789				
OG0027953	KRH58460				
OG0027954	KRH57555				
OG0027955	KRH58375				
OG0027956	KRH58217				
OG0027957	KRH58132				
OG0027958	KRH57340				
OG0027959	KRH56681				
OG0027960	KRH59184				
OG0027961	KRH60468				
OG0027962	KRH59734				
OG0027963	KRH58843				
OG0027964	KRH56714				
OG0027965	KRH60255				
OG0027966	KRH60254				
OG0027967	KRH60251				
OG0027968	KRH60253				
OG0027969	KRH57474				
OG0027970	KRH57475				
OG0027971	KRH57476				
OG0027972	KRH58076				
OG0027973	KRH57426				
OG0027974	KRH57428				
OG0027975	KRH57429				
OG0027976	KRH57430				
OG0027977	KRH58558				
OG0027978	KRH60194				
OG0027979	KRH60193				
OG0027980	KRH58933				
OG0027981	KRH58934				
OG0027982	KRH57613				
OG0027983	KRH59617				
OG0027984	KRH59616				
OG0027985	KRH60457				
OG0027986	KRH60456				
OG0027987	KRH60458				
OG0027988	KRH56754				
OG0027989	KRH56664				
OG0027990	KRH56663				
OG0027991	KRH57353				
OG0027992	KRH57546				
OG0027993	KRH60245				
OG0027994	KRH57887				
OG0027995	KRH57022				
OG0027996	KRH59138				
OG0027997	KRH59139				
OG0027998	KRH57589				
OG0027999	KRH57508				
OG0028000	KRH59824				
OG0028001	KRH59822				
OG0028002	KRH59823				
OG0028003	KRH56965				
OG0028004	KRH59115				
OG0028005	KRH60165				
OG0028006	KRH60538				
OG0028007	KRH60537				
OG0028008	KRH58928				
OG0028009	KRH58926				
OG0028010	KRH58927				
OG0028011	KRH59792				
OG0028012	KRH59793				
OG0028013	KRH57918				
OG0028014	KRH59508				
OG0028015	KRH58380				
OG0028016	KRH58378				
OG0028017	KRH58379				
OG0028018	KRH57060				
OG0028019	KRH57961				
OG0028020	KRH59211				
OG0028021	KRH60266				
OG0028022	KRH60156				
OG0028023	KRH60221				
OG0028024	KRH59797				
OG0028025	KRH57089				
OG0028026	KRH57090				
OG0028027	KRH57088				
OG0028028	KRH59020				
OG0028029	KRH56923				
OG0028030	KRH56924				
OG0028031	KRH59801				
OG0028032	KRH59566				
OG0028033	KRH58784				
OG0028034	KRH60141				
OG0028035	KRH57671				
OG0028036	KRH57672				
OG0028037	KRH57673				
OG0028038	KRH57674				
OG0028039	KRH58247				
OG0028040	KRH57647				
OG0028041	KRH56720				
OG0028042	KRH59513				
OG0028043	KRH56830				
OG0028044	KRH57810				
OG0028045	KRH57809				
OG0028046	KRH60095				
OG0028047	KRH57036				
OG0028048	KRH60373				
OG0028049	KRH60374				
OG0028050	KRH60375				
OG0028051	KRH56865				
OG0028052	KRH58870				
OG0028053	KRH57348				
OG0028054	KRH59164				
OG0028055	KRH60132				
OG0028056	KRH60131				
OG0028057	KRH57435				
OG0028058	KRH59445				
OG0028059	KRH59929				
OG0028060	KRH58418				
OG0028061	KRH58419				
OG0028062	KRH58417				
OG0028063	KRH58817				
OG0028064	KRH58816				
OG0028065	KRH59549				
OG0028066	KRH58026				
OG0028067	KRH57539				
OG0028068	KRH58344				
OG0028069	KRH59762				
OG0028070	KRH58216				
OG0028071	KRH56608				
OG0028072	KRH58036				
OG0028073	KRH59876				
OG0028074	KRH59877				
OG0028075	KRH59875				
OG0028076	KRH57817				
OG0028077	KRH58862				
OG0028078	KRH56827				
OG0028079	KRH56966				
OG0028080	KRH59100				
OG0028081	KRH59098				
OG0028082	KRH57534				
OG0028083	KRH58319				
OG0028084	KRH58058				
OG0028085	KRH59958				
OG0028086	KRH60085				
OG0028087	KRH57010				
OG0028088	KRH59658				
OG0028089	KRH58836				
OG0028090	KRH58835				
OG0028091	KRH58744				
OG0028092	KRH57173				
OG0028093	KRH57949				
OG0028094	KRH57874				
OG0028095	KRH57875				
OG0028096	KRH58888				
OG0028097	KRH58887				
OG0028098	KRH56515				
OG0028099	KRH59864				
OG0028100	KRH57656				
OG0028101	KRH60152				
OG0028102	KRH57893				
OG0028103	KRH58729				
OG0028104	KRH57006				
OG0028105	KRH59048				
OG0028106	KRH57649				
OG0028107	KRH58260				
OG0028108	KRH60295				
OG0028109	KRH59520				
OG0028110	KRH59519				
OG0028111	KRH57045				
OG0028112	KRH57046				
OG0028113	KRH58879				
OG0028114	KRH59327				
OG0028115	KRH57960				
OG0028116	KRH60348				
OG0028117	KRH58827				
OG0028118	KRH58259				
OG0028119	KRH59640				
OG0028120	KRH59639				
OG0028121	KRH58900				
OG0028122	KRH58898				
OG0028123	KRH58897				
OG0028124	KRH58899				
OG0028125	KRH58993				
OG0028126	KRH58393				
OG0028127	KRH56687				
OG0028128	KRH58059				
OG0028129	KRH60560				
OG0028130	KRH57290				
OG0028131	KRH59104				
OG0028132	KRH59105				
OG0028133	KRH57273				
OG0028134	KRH60207				
OG0028135	KRH57595				
OG0028136	KRH58079				
OG0028137	KRH56708				
OG0028138	KRH56499				
OG0028139	KRH56500				
OG0028140	KRH56530				
OG0028141	KRH56529				
OG0028142	KRH57986				
OG0028143	KRH58264				
OG0028144	KRH58265				
OG0028145	KRH59251				
OG0028146	KRH59218				
OG0028147	KRH56607				
OG0028148	KRH58008				
OG0028149	KRH60057				
OG0028150	KRH60058				
OG0028151	KRH56512				
OG0028152	KRH56511				
OG0028153	KRH59074				
OG0028154	KRH58242				
OG0028155	KRH59459				
OG0028156	KRH60138				
OG0028157	KRH60137				
OG0028158	KRH60378				
OG0028159	KRH57485				
OG0028160	KRH59604				
OG0028161	KRH60323				
OG0028162	KRH57491				
OG0028163	KRH57492				
OG0028164	KRH57493				
OG0028165	KRH60425				
OG0028166	KRH60296				
OG0028167	KRH57675				
OG0028168	KRH59800				
OG0028169	KRH57622				
OG0028170	KRH58598				
OG0028171	KRH59781				
OG0028172	KRH60189				
OG0028173	KRH60190				
OG0028174	KRH58484				
OG0028175	KRH59117				
OG0028176	KRH59118				
OG0028177	KRH58078				
OG0028178	KRH56920				
OG0028179	KRH57488				
OG0028180	KRH57487				
OG0028181	KRH57441				
OG0028182	KRH57694				
OG0028183	KRH60105				
OG0028184	KRH56889				
OG0028185	KRH57935				
OG0028186	KRH57256				
OG0028187	KRH57964				
OG0028188	KRH57963				
OG0028189	KRH59182				
OG0028190	KRH56953				
OG0028191	KRH59436				
OG0028192	KRH60179				
OG0028193	KRH60498				
OG0028194	KRH59388				
OG0028195	KRH59389				
OG0028196	KRH57198				
OG0028197	KRH60432				
OG0028198	KRH60433				
OG0028199	KRH56686				
OG0028200	KRH56685				
OG0028201	KRH59283				
OG0028202	KRH59282				
OG0028203	KRH59284				
OG0028204	KRH57775				
OG0028205	KRH57026				
OG0028206	KRH57659				
OG0028207	KRH56670				
OG0028208	KRH57545				
OG0028209	KRH57440				
OG0028210	KRH59926				
OG0028211	KRH59927				
OG0028212	KRH56624				
OG0028213	KRH59394				
OG0028214	KRH56902				
OG0028215	KRH57569				
OG0028216	KRH57570				
OG0028217	KRH57753				
OG0028218	KRH57754				
OG0028219	KRH58131				
OG0028220	KRH58214				
OG0028221	KRH58213				
OG0028222	KRH58215				
OG0028223	KRH59086				
OG0028224	KRH57632				
OG0028225	KRH56546				
OG0028226	KRH56547				
OG0028227	KRH59314				
OG0028228	KRH57031				
OG0028229	KRH59679				
OG0028230	KRH57392				
OG0028231	KRH56669				
OG0028232	KRH56668				
OG0028233	KRH59302				
OG0028234	KRH56620				
OG0028235	KRH57155				
OG0028236	KRH58895				
OG0028237	KRH59970				
OG0028238	KRH59955				
OG0028239	KRH58714				
OG0028240	KRH60097				
OG0028241	KRH57856				
OG0028242	KRH57506				
OG0028243	KRH59259				
OG0028244	KRH60148				
OG0028245	KRH59222				
OG0028246	KRH60236				
OG0028247	KRH60178				
OG0028248	KRH58948				
OG0028249	KRH60223				
OG0028250	KRH60224				
OG0028251	KRH59240				
OG0028252	KRH58528				
OG0028253	KRH58160				
OG0028254	KRH58530				
OG0028255	KRH59953				
OG0028256	KRH57080				
OG0028257	KRH60035				
OG0028258	KRH57163				
OG0028259	KRH58170				
OG0028260	KRH57251				
OG0028261	KRH56780				
OG0028262	KRH58355				
OG0028263	KRH58616				
OG0028264	KRH60376				
OG0028265	KRH60377				
OG0028266	KRH57819				
OG0028267	KRH57624				
OG0028268	KRH59850				
OG0028269	KRH59851				
OG0028270	KRH60121				
OG0028271	KRH58006				
OG0028272	KRH60071				
OG0028273	KRH57274				
OG0028274	KRH59944				
OG0028275	KRH56596				
OG0028276	KRH59291				
OG0028277	KRH58596				
OG0028278	KRH57832				
OG0028279	KRH59681				
OG0028280	KRH57455				
OG0028281	KRH58476				
OG0028282	KRH59830				
OG0028283	KRH59828				
OG0028284	KRH59829				
OG0028285	KRH59831				
OG0028286	KRH60005				
OG0028287	KRH58041				
OG0028288	KRH58043				
OG0028289	KRH58042				
OG0028290	KRH60111				
OG0028291	KRH59629				
OG0028292	KRH59630				
OG0028293	KRH58518				
OG0028294	KRH58519				
OG0028295	KRH59960				
OG0028296	KRH57764				
OG0028297	KRH57765				
OG0028298	KRH58466				
OG0028299	KRH58467				
OG0028300	KRH56583				
OG0028301	KRH56585				
OG0028302	KRH56586				
OG0028303	KRH57937				
OG0028304	KRH58027				
OG0028305	KRH57915				
OG0028306	KRH60019				
OG0028307	KRH60226				
OG0028308	KRH60473				
OG0028309	KRH56604				
OG0028310	KRH56601				
OG0028311	KRH59272				
OG0028312	KRH57676				
OG0028313	KRH57331				
OG0028314	KRH56711				
OG0028315	KRH57749				
OG0028316	KRH57542				
OG0028317	KRH58630				
OG0028318	KRH60531				
OG0028319	KRH57245				
OG0028320	KRH58377				
OG0028321	KRH57264				
OG0028322	KRH59948				
OG0028323	KRH57975				
OG0028324	KRH57668				
OG0028325	KRH60423				
OG0028326	KRH60422				
OG0028327	KRH58291				
OG0028328	KRH60006				
OG0028329	KRH58005				
OG0028330	KRH57034				
OG0028331	KRH59326				
OG0028332	KRH59323				
OG0028333	KRH59325				
OG0028334	KRH59324				
OG0028335	KRH57007				
OG0028336	KRH57615				
OG0028337	KRH56883				
OG0028338	KRH58640				
OG0028339	KRH58641				
OG0028340	KRH57945				
OG0028341	KRH56998				
OG0028342	KRH59199				
OG0028343	KRH59844				
OG0028344	KRH59081				
OG0028345	KRH59917				
OG0028346	KRH58758				
OG0028347	KRH57216				
OG0028348	KRH57966				
OG0028349	KRH59645				
OG0028350	KRH57227				
OG0028351	KRH58235				
OG0028352	KRH57243				
OG0028353	KRH57242				
OG0028354	KRH59447				
OG0028355	KRH57208				
OG0028356	KRH57538				
OG0028357	KRH57933				
OG0028358	KRH60227				
OG0028359	KRH59861				
OG0028360	KRH58585				
OG0028361	KRH58587				
OG0028362	KRH56950				
OG0028363	KRH56948				
OG0028364	KRH56949				
OG0028365	KRH56832				
OG0028366	KRH57342				
OG0028367	KRH58023				
OG0028368	KRH57607				
OG0028369	KRH58732				
OG0028370	KRH60477				
OG0028371	KRH57548				
OG0028372	KRH57547				
OG0028373	KRH58346				
OG0028374	KRH58345				
OG0028375	KRH60399				
OG0028376	KRH60400				
OG0028377	KRH57594				
OG0028378	KRH60579				
OG0028379	KRH60580				
OG0028380	KRH60578				
OG0028381	KRH60581				
OG0028382	KRH57482				
OG0028383	KRH58274				
OG0028384	KRH57465				
OG0028385	KRH59546				
OG0028386	KRH58496				
OG0028387	KRH57373				
OG0028388	KRH56653				
OG0028389	KRH57087				
OG0028390	KRH58199				
OG0028391	KRH60015				
OG0028392	KRH56700				
OG0028393	KRH58272				
OG0028394	KRH60202				
OG0028395	KRH57997				
OG0028396	KRH57165				
OG0028397	KRH57318				
OG0028398	KRH60336				
OG0028399	KRH60115				
OG0028400	KRH60070				
OG0028401	KRH57639				
OG0028402	KRH59610				
OG0028403	KRH60026				
OG0028404	KRH59819				
OG0028405	KRH57704				
OG0028406	KRH58068				
OG0028407	KRH59578				
OG0028408	KRH58167				
OG0028409	KRH59557				
OG0028410	KRH58875				
OG0028411	KRH56768				
OG0028412	KRH57479				
OG0028413	KRH57478				
OG0028414	KRH58988				
OG0028415	KRH60096				
OG0028416	KRH60436				
OG0028417	KRH60435				
OG0028418	KRH59595				
OG0028419	KRH56844				
OG0028420	KRH56845				
OG0028421	KRH57769				
OG0028422	KRH57076				
OG0028423	KRH58591				
OG0028424	KRH56643				
OG0028425	KRH59841				
OG0028426	KRH59400				
OG0028427	KRH56580				
OG0028428	KRH60014				
OG0028429	KRH57855				
OG0028430	KRH58705				
OG0028431	KRH58451				
OG0028432	KRH59783				
OG0028433	KRH59784				
OG0028434	KRH57815				
OG0028435	KRH60438				
OG0028436	KRH58014				
OG0028437	KRH60499				
OG0028438	KRH58469				
OG0028439	KRH58776				
OG0028440	KRH58363				
OG0028441	KRH58876				
OG0028442	KRH60322				
OG0028443	KRH60321				
OG0028444	KRH57210				
OG0028445	KRH59964				
OG0028446	KRH56943				
OG0028447	KRH56944				
OG0028448	KRH57903				
OG0028449	KRH60249				
OG0028450	KRH58422				
OG0028451	KRH60341				
OG0028452	KRH57931				
OG0028453	KRH59019				
OG0028454	KRH59949				
OG0028455	KRH58811				
OG0028456	KRH58109				
OG0028457	KRH59231				
OG0028458	KRH57658				
OG0028459	KRH59642				
OG0028460	KRH56925				
OG0028461	KRH59966				
OG0028462	KRH59023				
OG0028463	KRH57758				
OG0028464	KRH56513				
OG0028465	KRH56514				
OG0028466	KRH60561				
OG0028467	KRH57814				
OG0028468	KRH59428				
OG0028469	KRH59427				
OG0028470	KRH57104				
OG0028471	KRH57220				
OG0028472	KRH60004				
OG0028473	KRH56671				
OG0028474	KRH59865				
OG0028475	KRH57219				
OG0028476	KRH58679				
OG0028477	KRH58772				
OG0028478	KRH57214				
OG0028479	KRH60385				
OG0028480	KRH57663				
OG0028481	KRH58373				
OG0028482	KRH57190				
OG0028483	KRH58996				
OG0028484	KRH57407				
OG0028485	KRH57350				
OG0028486	KRH60084				
OG0028487	KRH58740				
OG0028488	KRH56829				
OG0028489	KRH57910				
OG0028490	KRH57708				
OG0028491	KRH57272				
OG0028492	KRH57271				
OG0028493	KRH58809				
OG0028494	KRH58390				
OG0028495	KRH59998				
OG0028496	KRH60353				
OG0028497	KRH57899				
OG0028498	KRH59366				
OG0028499	KRH60527				
OG0028500	KRH59005				
OG0028501	KRH57870				
OG0028502	KRH57606				
OG0028503	KRH60325				
OG0028504	KRH59000				
OG0028505	KRH58999				
OG0028506	KRH58271				
OG0028507	KRH59398				
OG0028508	KRH57625				
OG0028509	KRH59207				
OG0028510	KRH59579				
OG0028511	KRH59983				
OG0028512	KRH58869				
OG0028513	KRH60416				
OG0028514	KRH58134				
OG0028515	KRH58932				
OG0028516	KRH59024				
OG0028517	KRH57103				
OG0028518	KRH58995				
OG0028519	KRH59356				
OG0028520	KRH56542				
OG0028521	KRH56522				
OG0028522	KRH57896				
OG0028523	KRH57895				
OG0028524	KRH60340				
OG0028525	KRH58233				
OG0028526	KRH60225				
OG0028527	KRH58173				
OG0028528	KRH58230				
OG0028529	KRH57842				
OG0028530	KRH56917				
OG0028531	KRH57845				
OG0028532	KRH57025				
OG0028533	KRH60481				
OG0028534	KRH56662				
OG0028535	KRH60427				
OG0028536	KRH60475				
OG0028537	KRH57501				
OG0028538	KRH57981				
OG0028539	KRH56679				
OG0028540	KRH58220				
OG0028541	KRH58578				
OG0028542	KRH58392				
OG0028543	KRH56970				
OG0028544	KRH57980				
OG0028545	KRH57132				
OG0028546	KRH59673				
OG0028547	KRH59674				
OG0028548	KRH60582				
OG0028549	KRH58448				
OG0028550	KRH57135				
OG0028551	KRH58383				
OG0028552	KRH59507				
OG0028553	KRH56778				
OG0028554	KRH57944				
OG0028555	KRH60285				
OG0028556	KRH59849				
OG0028557	KRH60409				
OG0028558	KRH56709				
OG0028559	KRH57742				
OG0028560	KRH57616				
OG0028561	KRH59217				
OG0028562	KRH59403				
OG0028563	KRH60314				
OG0028564	KRH57319				
OG0028565	KRH60426				
OG0028566	KRH58669				
OG0028567	KRH58749				
OG0028568	KRH58326				
OG0028569	KRH58597				
OG0028570	KRH58232				
OG0028571	KRH59128				
OG0028572	KRH59563				
OG0028573	KRH58156				
OG0028574	KRH60201				
OG0028575	KRH58038				
OG0028576	KRH59353				
OG0028577	KRH59414				
OG0028578	KRH57012				
OG0028579	KRH59968				
OG0028580	KRH56642				
OG0028581	KRH60282				
OG0028582	KRH60467				
OG0028583	KRH57751				
OG0028584	KRH57898				
OG0028585	KRH58184				
OG0028586	KRH22448				
OG0028587	KRH22451				
OG0028588	KRH22452				
OG0028589	KRH22041				
OG0028590	KRH22435				
OG0028591	KRH22434				
OG0028592	KRH21759				
OG0028593	KRH21758				
OG0028594	KRH21756				
OG0028595	KRH21757				
OG0028596	KRH18702				
OG0028597	KRH18703				
OG0028598	KRH23599				
OG0028599	KRH18823				
OG0028600	KRH18544				
OG0028601	KRH22991				
OG0028602	KRH19555				
OG0028603	KRH19556				
OG0028604	KRH19557				
OG0028605	KRH20937				
OG0028606	KRH20936				
OG0028607	KRH20935				
OG0028608	KRH21724				
OG0028609	KRH21723				
OG0028610	KRH21725				
OG0028611	KRH22260				
OG0028612	KRH22982				
OG0028613	KRH22981				
OG0028614	KRH22980				
OG0028615	KRH20622				
OG0028616	KRH20621				
OG0028617	KRH22508				
OG0028618	KRH18084				
OG0028619	KRH18075				
OG0028620	KRH18082				
OG0028621	KRH18086				
OG0028622	KRH18083				
OG0028623	KRH18077				
OG0028624	KRH18085				
OG0028625	KRH18087				
OG0028626	KRH18078				
OG0028627	KRH18081				
OG0028628	KRH18080				
OG0028629	KRH18079				
OG0028630	KRH18076				
OG0028631	KRH21881				
OG0028632	KRH21882				
OG0028633	KRH21880				
OG0028634	KRH20275				
OG0028635	KRH20276				
OG0028636	KRH21553				
OG0028637	KRH21554				
OG0028638	KRH19464				
OG0028639	KRH19461				
OG0028640	KRH19462				
OG0028641	KRH19463				
OG0028642	KRH22455				
OG0028643	KRH22454				
OG0028644	KRH22456				
OG0028645	KRH21348				
OG0028646	KRH21349				
OG0028647	KRH21350				
OG0028648	KRH19626				
OG0028649	KRH19627				
OG0028650	KRH20186				
OG0028651	KRH20185				
OG0028652	KRH20473				
OG0028653	KRH20471				
OG0028654	KRH20470				
OG0028655	KRH20345				
OG0028656	KRH20344				
OG0028657	KRH20343				
OG0028658	KRH20346				
OG0028659	KRH22323				
OG0028660	KRH22321				
OG0028661	KRH22322				
OG0028662	KRH19615				
OG0028663	KRH22012				
OG0028664	KRH19966				
OG0028665	KRH19965				
OG0028666	KRH19964				
OG0028667	KRH21899				
OG0028668	KRH21901				
OG0028669	KRH21900				
OG0028670	KRH22693				
OG0028671	KRH18343				
OG0028672	KRH18341				
OG0028673	KRH20566				
OG0028674	KRH20564				
OG0028675	KRH20565				
OG0028676	KRH20567				
OG0028677	KRH20563				
OG0028678	KRH18398				
OG0028679	KRH21938				
OG0028680	KRH19456				
OG0028681	KRH20467				
OG0028682	KRH19870				
OG0028683	KRH19869				
OG0028684	KRH20456				
OG0028685	KRH18973				
OG0028686	KRH19651				
OG0028687	KRH20570				
OG0028688	KRH18382				
OG0028689	KRH18139				
OG0028690	KRH19166				
OG0028691	KRH19162				
OG0028692	KRH19163				
OG0028693	KRH19167				
OG0028694	KRH19175				
OG0028695	KRH19174				
OG0028696	KRH19169				
OG0028697	KRH18789				
OG0028698	KRH18790				
OG0028699	KRH18788				
OG0028700	KRH21127				
OG0028701	KRH23420				
OG0028702	KRH21162				
OG0028703	KRH20428				
OG0028704	KRH20427				
OG0028705	KRH20745				
OG0028706	KRH20738				
OG0028707	KRH20744				
OG0028708	KRH20740				
OG0028709	KRH20743				
OG0028710	KRH20739				
OG0028711	KRH23110				
OG0028712	KRH19296				
OG0028713	KRH19284				
OG0028714	KRH19298				
OG0028715	KRH19297				
OG0028716	KRH19301				
OG0028717	KRH19299				
OG0028718	KRH19286				
OG0028719	KRH19289				
OG0028720	KRH19292				
OG0028721	KRH19285				
OG0028722	KRH19287				
OG0028723	KRH19294				
OG0028724	KRH19290				
OG0028725	KRH19291				
OG0028726	KRH19283				
OG0028727	KRH19300				
OG0028728	KRH19295				
OG0028729	KRH19282				
OG0028730	KRH19293				
OG0028731	KRH19288				
OG0028732	KRH21515				
OG0028733	KRH20954				
OG0028734	KRH22912				
OG0028735	KRH20748				
OG0028736	KRH22445				
OG0028737	KRH22643				
OG0028738	KRH21020				
OG0028739	KRH18025				
OG0028740	KRH23713				
OG0028741	KRH18462				
OG0028742	KRH18463				
OG0028743	KRH18464				
OG0028744	KRH19107				
OG0028745	KRH22086				
OG0028746	KRH22084				
OG0028747	KRH22083				
OG0028748	KRH22085				
OG0028749	KRH18869				
OG0028750	KRH18867				
OG0028751	KRH22216				
OG0028752	KRH21280				
OG0028753	KRH19554				
OG0028754	KRH23253				
OG0028755	KRH18407				
OG0028756	KRH23241				
OG0028757	KRH23235				
OG0028758	KRH23240				
OG0028759	KRH23236				
OG0028760	KRH23234				
OG0028761	KRH23237				
OG0028762	KRH23238				
OG0028763	KRH23239				
OG0028764	KRH18883				
OG0028765	KRH18884				
OG0028766	KRH18033				
OG0028767	KRH23607				
OG0028768	KRH23605				
OG0028769	KRH23606				
OG0028770	KRH19751				
OG0028771	KRH21876				
OG0028772	KRH23213				
OG0028773	KRH21696				
OG0028774	KRH21690				
OG0028775	KRH21691				
OG0028776	KRH19224				
OG0028777	KRH19223				
OG0028778	KRH19220				
OG0028779	KRH19230				
OG0028780	KRH19226				
OG0028781	KRH19228				
OG0028782	KRH19225				
OG0028783	KRH19227				
OG0028784	KRH19222				
OG0028785	KRH19229				
OG0028786	KRH19221				
OG0028787	KRH17745				
OG0028788	KRH17624				
OG0028789	KRH17623				
OG0028790	KRH17621				
OG0028791	KRH18206				
OG0028792	KRH18192				
OG0028793	KRH18201				
OG0028794	KRH18196				
OG0028795	KRH18197				
OG0028796	KRH18199				
OG0028797	KRH18190				
OG0028798	KRH18198				
OG0028799	KRH18200				
OG0028800	KRH18195				
OG0028801	KRH18194				
OG0028802	KRH18193				
OG0028803	KRH18191				
OG0028804	KRH17702				
OG0028805	KRH18349				
OG0028806	KRH18520				
OG0028807	KRH18521				
OG0028808	KRH18522				
OG0028809	KRH18517				
OG0028810	KRH18524				
OG0028811	KRH18510				
OG0028812	KRH18515				
OG0028813	KRH18512				
OG0028814	KRH18523				
OG0028815	KRH18525				
OG0028816	KRH18511				
OG0028817	KRH19185				
OG0028818	KRH18143				
OG0028819	KRH22132				
OG0028820	KRH18918				
OG0028821	KRH18914				
OG0028822	KRH18916				
OG0028823	KRH18915				
OG0028824	KRH18917				
OG0028825	KRH22266				
OG0028826	KRH22267				
OG0028827	KRH23199				
OG0028828	KRH23201				
OG0028829	KRH20813				
OG0028830	KRH20815				
OG0028831	KRH21885				
OG0028832	KRH22087				
OG0028833	KRH23475				
OG0028834	KRH23474				
OG0028835	KRH20809				
OG0028836	KRH20308				
OG0028837	KRH20300				
OG0028838	KRH20301				
OG0028839	KRH20306				
OG0028840	KRH20302				
OG0028841	KRH23501				
OG0028842	KRH21594				
OG0028843	KRH18167				
OG0028844	KRH21041				
OG0028845	KRH19838				
OG0028846	KRH19839				
OG0028847	KRH19840				
OG0028848	KRH20510				
OG0028849	KRH20509				
OG0028850	KRH22142				
OG0028851	KRH22141				
OG0028852	KRH22143				
OG0028853	KRH21482				
OG0028854	KRH21480				
OG0028855	KRH21484				
OG0028856	KRH21479				
OG0028857	KRH21483				
OG0028858	KRH21486				
OG0028859	KRH21485				
OG0028860	KRH21481				
OG0028861	KRH21488				
OG0028862	KRH21487				
OG0028863	KRH21849				
OG0028864	KRH20718				
OG0028865	KRH22947				
OG0028866	KRH19261				
OG0028867	KRH20175				
OG0028868	KRH18671				
OG0028869	KRH18673				
OG0028870	KRH18672				
OG0028871	KRH20873				
OG0028872	KRH22140				
OG0028873	KRH19577				
OG0028874	KRH18628				
OG0028875	KRH19995				
OG0028876	KRH21431				
OG0028877	KRH22385				
OG0028878	KRH21386				
OG0028879	KRH23415				
OG0028880	KRH23414				
OG0028881	KRH23416				
OG0028882	KRH18364				
OG0028883	KRH22926				
OG0028884	KRH22929				
OG0028885	KRH22928				
OG0028886	KRH22930				
OG0028887	KRH17910				
OG0028888	KRH17911				
OG0028889	KRH17913				
OG0028890	KRH17912				
OG0028891	KRH23625				
OG0028892	KRH20485				
OG0028893	KRH20483				
OG0028894	KRH20484				
OG0028895	KRH20482				
OG0028896	KRH22684				
OG0028897	KRH19927				
OG0028898	KRH22748				
OG0028899	KRH22747				
OG0028900	KRH22531				
OG0028901	KRH22532				
OG0028902	KRH22533				
OG0028903	KRH20654				
OG0028904	KRH20653				
OG0028905	KRH20649				
OG0028906	KRH20647				
OG0028907	KRH20648				
OG0028908	KRH20650				
OG0028909	KRH22513				
OG0028910	KRH20664				
OG0028911	KRH17751				
OG0028912	KRH20800				
OG0028913	KRH20798				
OG0028914	KRH20799				
OG0028915	KRH19623				
OG0028916	KRH21244				
OG0028917	KRH21243				
OG0028918	KRH22441				
OG0028919	KRH21012				
OG0028920	KRH21011				
OG0028921	KRH22190				
OG0028922	KRH19395				
OG0028923	KRH19393				
OG0028924	KRH21475				
OG0028925	KRH23577				
OG0028926	KRH19019				
OG0028927	KRH19021				
OG0028928	KRH19020				
OG0028929	KRH20231				
OG0028930	KRH22877				
OG0028931	KRH22878				
OG0028932	KRH23016				
OG0028933	KRH21025				
OG0028934	KRH21026				
OG0028935	KRH20201				
OG0028936	KRH20200				
OG0028937	KRH20219				
OG0028938	KRH20220				
OG0028939	KRH20221				
OG0028940	KRH19661				
OG0028941	KRH18781				
OG0028942	KRH18782				
OG0028943	KRH21114				
OG0028944	KRH21113				
OG0028945	KRH20250				
OG0028946	KRH19014				
OG0028947	KRH21429				
OG0028948	KRH18853				
OG0028949	KRH18858				
OG0028950	KRH18852				
OG0028951	KRH18857				
OG0028952	KRH18409				
OG0028953	KRH22752				
OG0028954	KRH22753				
OG0028955	KRH18971				
OG0028956	KRH18841				
OG0028957	KRH18335				
OG0028958	KRH23294				
OG0028959	KRH20642				
OG0028960	KRH22151				
OG0028961	KRH20620				
OG0028962	KRH20619				
OG0028963	KRH19096				
OG0028964	KRH19097				
OG0028965	KRH19098				
OG0028966	KRH19095				
OG0028967	KRH19471				
OG0028968	KRH19478				
OG0028969	KRH19476				
OG0028970	KRH19472				
OG0028971	KRH19477				
OG0028972	KRH19470				
OG0028973	KRH21061				
OG0028974	KRH21059				
OG0028975	KRH18229				
OG0028976	KRH18230				
OG0028977	KRH22903				
OG0028978	KRH22904				
OG0028979	KRH19536				
